Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
fluminense;Ganso;33;1715;11;26;21;7;22;5;5;5;63;5;0;8;29;43;0;1;0;62;6;0
atletico-mg;Júnior Alonso;31;1705;2;23;3;9;3;7;0;2;9;9;0;163;15;8;1;0;2;12;4;0
sao-paulo;Rafinha;32;1678;0;46;15;10;2;28;0;3;13;5;0;89;30;21;0;0;0;22;8;1
atletico-mg;Allan;33;1589;12;42;1;13;10;24;0;0;21;6;0;91;48;25;1;0;1;35;10;0
fluminense;Samuel Xavier;33;1570;10;23;21;12;9;3;2;2;28;11;0;80;28;49;3;0;0;58;5;0
palmeiras;Marcos Rocha;28;1477;0;64;12;16;15;33;0;5;32;6;0;82;29;17;0;2;0;23;4;0
fluminense;Nino;30;1398;4;29;0;7;2;7;0;0;8;18;0;157;27;40;2;0;1;15;4;0
atletico-go;Marlon Freitas;36;1398;10;39;6;10;4;38;4;3;41;14;0;50;18;4;2;0;0;41;2;0
fluminense;Manoel;31;1389;4;18;1;5;4;13;4;1;8;19;0;152;21;23;0;0;1;23;5;2
fluminense;Jhon Arias;33;1384;17;34;50;5;22;6;7;10;64;2;0;20;46;53;3;0;0;166;5;0
internacional;Renê;28;1381;1;58;14;21;8;7;0;1;18;5;0;105;19;31;0;0;1;39;0;0
palmeiras;Murilo;32;1360;10;33;0;21;3;14;5;1;8;22;0;199;25;9;2;0;0;5;7;0
avai;Kevin;32;1315;8;50;24;15;3;4;2;1;32;6;0;142;36;21;3;0;0;38;3;0
sao-paulo;Léo;29;1306;0;19;5;6;5;15;0;0;7;7;0;101;25;11;0;0;1;14;4;1
flamengo;Ayrton Lucas;31;1280;9;50;8;10;27;2;2;6;22;7;0;100;42;45;0;0;0;99;4;0
santos;Eduardo Bauermann;33;1273;8;34;0;11;2;7;1;1;3;36;0;261;13;35;1;1;0;7;7;1
coritiba;Luciano Castan;35;1255;2;24;0;15;5;14;2;0;7;39;0;237;27;19;1;0;1;16;7;1
juventude;Rodrigo Soares;35;1237;3;29;29;12;26;20;1;1;29;6;0;115;25;5;0;0;0;47;4;0
internacional;Fabricio Bustos;31;1221;4;48;10;9;8;2;2;3;22;8;0;129;23;11;2;0;1;40;3;0
corinthians;Du Queiroz;36;1218;9;51;8;17;20;10;2;2;21;9;0;23;49;11;1;0;0;109;4;0
bragantino;Natan;32;1198;8;29;4;8;2;16;2;1;10;13;0;228;18;17;1;0;1;17;5;0
atletico-mg;Guilherme Arana;20;1194;6;18;25;5;10;4;0;3;28;4;0;61;26;15;2;0;1;39;4;0
bragantino;Raul;32;1189;1;53;5;21;10;18;0;0;17;12;0;78;35;50;0;0;1;45;3;0
internacional;Gabriel;26;1176;1;76;2;11;0;15;0;0;8;7;0;48;46;26;0;0;0;36;2;0
palmeiras;Gustavo Gómez;30;1167;14;35;1;15;1;5;9;0;5;29;0;251;30;20;6;0;1;16;9;0
sao-paulo;Pablo Maia;32;1155;11;32;2;10;5;16;0;0;10;7;0;54;55;20;0;0;1;30;7;0
internacional;Carlos de Pena;34;1148;21;38;49;25;11;11;5;6;49;4;0;70;29;24;0;0;0;58;6;0
avai;Bruno Cortez;27;1143;2;35;11;6;13;4;0;0;10;6;0;103;20;25;1;0;0;51;7;0
fluminense;Martinelli;28;1114;6;23;3;4;12;6;1;3;21;6;0;34;24;7;0;0;0;62;1;0
avai;Raniele;33;1099;11;48;3;11;20;5;2;0;17;20;0;179;38;83;0;3;0;86;9;0
atletico-go;Jefferson Junio;33;1093;3;26;19;7;4;16;1;2;25;7;0;118;36;22;0;0;0;33;5;0
cuiaba;Marllon;34;1093;3;40;0;14;0;8;0;1;1;23;0;240;26;18;1;0;2;17;3;0
palmeiras;Danilo;34;1090;13;51;3;14;18;15;1;2;24;6;0;69;45;19;1;0;1;64;5;1
flamengo;Matheuzinho;28;1080;2;48;24;11;5;19;1;3;27;9;0;88;23;15;0;0;1;38;4;0
corinthians;Fábio Santos;22;1055;4;32;5;4;1;5;3;0;9;6;0;80;12;14;0;0;0;21;4;0
atletico-mg;Ignacio Fernández;34;1052;28;34;46;17;7;1;4;5;55;1;0;16;22;60;3;2;0;87;7;0
bragantino;Aderlan;31;1052;3;67;45;17;7;7;1;2;57;9;0;117;77;16;5;0;0;57;10;0
ceara;Richard;30;1041;8;52;2;16;8;21;0;1;9;17;0;89;54;35;3;0;0;52;12;1
palmeiras;Joaquín Piquerez;26;1035;5;42;9;21;11;7;0;2;19;4;0;65;21;22;0;0;1;57;5;0
botafogo;Víctor Cuesta;29;1021;7;39;1;24;8;2;4;2;8;22;0;261;28;11;2;0;0;14;8;0
santos;Felipe Jonatan;26;1019;5;18;25;16;25;11;0;2;21;7;0;120;25;22;1;0;0;31;3;0
flamengo;Pablo;23;1013;4;20;0;18;3;1;0;0;3;11;0;143;32;5;1;0;0;13;5;0
palmeiras;Zé Rafael;33;998;16;62;5;14;18;20;3;1;24;2;0;34;50;65;1;0;0;102;12;1
juventude;Jádson;33;995;5;59;5;12;9;12;2;0;26;6;0;28;40;49;1;0;0;65;9;1
corinthians;Gil;25;982;5;23;0;11;3;3;0;1;3;23;0;179;12;6;3;0;1;10;4;0
flamengo;Thiago Maia;24;982;3;30;2;12;2;5;0;0;10;7;0;44;30;6;0;0;0;33;6;0
internacional;Vitão;31;970;4;24;0;2;1;1;2;0;0;29;0;256;14;5;0;0;0;6;1;0
atletico-mg;Nathan Silva;22;965;2;22;0;7;0;3;0;0;1;12;0;137;35;7;0;0;1;7;8;0
bragantino;Lucas Evangelista;34;958;13;36;7;8;11;5;2;2;30;8;0;66;40;57;2;0;0;71;2;1
atletico-go;Baralhas;30;935;17;52;2;14;8;21;4;2;14;8;0;46;40;17;0;0;1;36;12;0
ceara;Bruno Pacheco;28;930;5;47;17;12;13;6;1;2;22;5;0;75;39;48;3;1;1;73;5;1
corinthians;Giuliano;32;925;4;23;3;5;13;5;1;2;23;2;0;25;15;15;2;0;0;59;2;0
athletico-pr;Abner Vinícius;28;923;3;34;14;11;5;3;1;3;29;4;0;96;26;10;1;0;0;34;6;0
bragantino;Luan Cândido;32;911;31;27;4;9;8;0;11;2;20;9;0;157;40;13;9;0;4;44;4;2
atletico-mg;Jair;31;907;7;58;9;18;8;7;1;4;16;3;0;28;45;31;0;0;1;54;5;0
flamengo;Everton Ribeiro;30;901;14;26;22;15;24;6;2;4;38;0;0;11;31;62;1;0;0;73;0;0
botafogo;Tchê Tchê;29;899;4;21;0;9;6;8;1;0;12;2;0;27;41;42;0;1;0;33;3;0
cuiaba;Pepê;30;899;10;50;23;11;11;19;1;0;42;1;0;41;39;43;0;0;0;73;4;0
botafogo;Daniel Borges;26;897;3;28;29;5;8;11;1;3;28;2;0;84;21;13;1;0;0;45;4;1
atletico-go;Wanderson;28;897;1;10;0;2;1;9;0;0;5;21;0;217;19;6;2;0;0;5;2;0
internacional;Edenílson;31;894;14;25;21;9;7;12;6;3;34;1;0;35;17;22;1;1;0;72;3;0
